Localizador,Cia Aérea,Origem,Destino,Classe da Passagem,Qtde de Paradas,Tipo de Destino,Estação do Ano,Preço Atual da Passagem,Preço da Passagem na última semana,Preço da Passagem no último mês,Decisão do Cliente
WSRTP9,AIR FRANCE,MIA,BOS,4,0,religioso,inverno,9016.77,7528.54,8176.19,Não comprou
QC080A,AIR FRANCE,SEA,HND,2,1,negócios,inverno,3386.73,3904.55,4617.08,Preferiu aguardar e comprou depois
YB1DJV,DELTA,MUC,ATH,2,2,romântico,verão,2650.08,3104.13,3561.57,Preferiu aguardar e comprou depois
FE7553,UNITED,ATL,SEA,3,2,histórico,outono,6991.75,7253.67,6395.98,Preferiu aguardar e comprou depois
C4QEMK,KLM,ZRH,FRA,2,2,religioso,primavera,3010.39,3577.39,3398.01,Comprou
D52NZ4,GOL,CPT,FCO,4,1,família,verão,14802.09,11847.80,11068.43,Não comprou
YR5C3J,KLM,YVR,DEN,2,1,negócios,primavera,1788.38,1952.31,1983.99,Comprou
4HAVCS,LATAM,ZRH,FCO,2,1,aventura,outono,2995.22,2755.61,2740.30,Não comprou
YH83F0,DELTA,DFW,MXP,1,2,família,verão,1215.97,1342.51,1161.91,Preferiu aguardar e comprou depois
V0V9PT,UNITED,BRU,LAX,1,0,religioso,verão,1771.30,1486.86,1342.07,Não comprou
9UH93T,QATAR,ZRH,PEK,1,2,romântico,inverno,802.49,836.57,921.49,Preferiu aguardar e comprou depois
0BKPLC,LATAM,MIA,ATL,2,1,romântico,verão,6146.77,5566.02,6406.36,Não comprou
XYWFEE,KLM,LGW,YVR,4,1,negócios,outono,11994.91,10824.36,11259.81,Não comprou
QJ97A3,QATAR,BOS,NRT,4,1,romântico,outono,10337.52,9338.85,8881.98,Não comprou
7BIWVD,GOL,HND,ICN,4,0,religioso,verão,14757.68,14807.18,15440.72,Preferiu aguardar e comprou depois
J85EJP,AZUL,HKG,SYD,4,1,histórico,verão,15851.31,16563.52,19400.66,Preferiu aguardar e comprou depois
6032NW,AMERICAN,BCN,LGW,3,2,família,outono,5780.07,6366.52,6669.01,Preferiu aguardar e comprou depois
J41BMP,KLM,SFO,LAX,3,0,romântico,inverno,7985.21,8141.97,9597.57,Preferiu aguardar e comprou depois
RP946U,LATAM,PVG,DOH,4,0,histórico,outono,13214.20,11725.38,10004.31,Não comprou
UAL46B,DELTA,HKG,PEK,4,2,aventura,inverno,11465.46,11051.27,10164.89,Não comprou
93FX9Q,KLM,LHR,PHX,1,1,aventura,inverno,778.48,664.90,748.27,Não comprou
0107Z8,EMIRATES,DEN,IAH,4,0,romântico,outono,8682.36,10092.57,8768.75,Comprou
XB5MGP,AZUL,SEA,PVG,4,2,aventura,verão,16255.90,16395.08,16336.78,Preferiu aguardar e comprou depois
3BESY7,AIR FRANCE,AKL,FRA,1,0,aventura,outono,1511.84,1444.52,1666.55,Não comprou
7BUUXI,GOL,DOH,MIA,4,0,aventura,outono,9750.70,8298.90,7207.35,Não comprou
9N5V8P,AZUL,BRU,YYZ,1,2,histórico,inverno,1507.38,1309.81,1159.42,Não comprou
YFE3EF,AZUL,AMS,SFO,4,0,aventura,inverno,8718.05,9252.54,10289.26,Comprou
55GBKX,AMERICAN,LHR,IAH,2,1,família,verão,3523.46,3237.48,2645.34,Não comprou
72PZO2,KLM,VIE,DXB,2,1,negócios,outono,3700.73,4437.70,4018.39,Comprou
ZWL8FY,EMIRATES,MIA,DUB,1,0,negócios,primavera,1411.32,1235.00,1272.43,Não comprou
VZY8Z6,QATAR,DOH,MUC,3,1,aventura,verão,6721.95,5791.51,6268.49,Não comprou
8VTL5I,AIR FRANCE,IAH,DEL,2,0,religioso,verão,3412.65,3405.92,3453.76,Não comprou
C7CA1K,AZUL,DEL,BOM,1,1,romântico,primavera,1148.68,1086.18,901.29,Não comprou
ZNUXF2,LATAM,PHX,DUB,4,0,negócios,outono,13752.98,13979.66,16476.17,Comprou
4TICA7,UNITED,JFK,JNB,2,0,aventura,primavera,2338.38,2231.95,2334.40,Não comprou
BBEBQK,UNITED,JFK,ICN,4,0,religioso,primavera,11187.05,9840.58,8444.35,Não comprou
7U1U1Y,KLM,AKL,DFW,3,2,aventura,inverno,4782.70,5621.79,4870.42,Preferiu aguardar e comprou depois
TE4H1T,DELTA,JFK,SFO,4,0,negócios,verão,14328.29,12444.73,10758.75,Não comprou
MFDJPG,EMIRATES,MIA,VIE,2,2,aventura,verão,3674.95,4245.81,4637.86,Comprou
0O48OT,GOL,JNB,DUB,3,0,aventura,inverno,7678.87,8340.20,8859.72,Preferiu aguardar e comprou depois
2ORDPP,AIR FRANCE,ATL,IAH,4,2,família,verão,14538.55,13637.98,11181.45,Não comprou
XUMSAY,LATAM,IAH,YYZ,4,2,histórico,inverno,7716.77,8074.94,8778.79,Preferiu aguardar e comprou depois
TD21SC,AIR FRANCE,SFO,YVR,4,2,aventura,outono,10111.98,11261.16,9839.42,Comprou
EVTWB9,EMIRATES,LAS,ICN,1,0,romântico,verão,2099.58,2384.35,2051.23,Comprou
UOZHP5,AIR FRANCE,MAD,BOS,3,0,romântico,outono,6450.66,6751.52,7476.64,Preferiu aguardar e comprou depois
PBTJF2,QATAR,YVR,ZRH,3,0,negócios,outono,5619.73,5168.97,4363.43,Não comprou
M2LYBB,DELTA,MXP,BOS,3,1,romântico,outono,6550.34,7058.95,5929.39,Preferiu aguardar e comprou depois
INOFHW,LATAM,SEA,AMS,1,2,histórico,inverno,1473.25,1273.53,1439.27,Não comprou
9BG2M5,AMERICAN,SFO,SIN,3,0,negócios,inverno,6016.92,6665.38,6902.92,Comprou
PKI49T,UNITED,DEL,AKL,4,1,romântico,verão,18542.66,21324.53,24271.66,Comprou
QSYWHH,DELTA,SFO,LHR,2,2,negócios,verão,3854.73,4458.59,5317.87,Comprou
P82MH4,LATAM,ZRH,ATH,4,0,histórico,verão,17081.21,17831.22,17934.57,Comprou
4ZZ1IZ,LATAM,JNB,NRT,2,2,negócios,primavera,1983.06,1626.78,1405.98,Não comprou
D3PKUT,AIR FRANCE,JNB,MXP,1,1,histórico,inverno,1082.77,988.23,1154.05,Não comprou
2N2HCK,AIR FRANCE,EWR,DXB,3,0,romântico,inverno,6115.90,5521.11,6470.99,Não comprou
ICV2ON,AZUL,DOH,BOS,2,2,romântico,inverno,3084.23,2940.32,2447.02,Não comprou
UUCYBK,AMERICAN,VIE,JNB,1,0,aventura,outono,1706.47,2039.54,2214.61,Preferiu aguardar e comprou depois
X1HTE6,EMIRATES,LHR,HND,2,2,romântico,inverno,1890.07,1660.02,1638.46,Não comprou
X7KEMF,KLM,SEA,FCO,4,1,aventura,primavera,9736.96,8848.73,9519.89,Não comprou
BLUMBR,DELTA,AKL,PVG,4,2,aventura,inverno,6649.35,7581.26,7841.68,Comprou
5L7J8J,KLM,CDG,MUC,2,0,romântico,verão,3025.73,2944.19,3417.44,Não comprou
3RMO6P,DELTA,LAS,MXP,1,1,histórico,inverno,1229.84,1154.62,1198.55,Não comprou
FKMOYW,AMERICAN,HKG,LAS,1,0,negócios,outono,1916.95,1595.85,1614.21,Não comprou
FKZDLB,QATAR,LIS,JNB,4,0,negócios,outono,12737.63,13954.63,12803.92,Comprou
EAQCYB,UNITED,MEL,LHR,1,1,romântico,inverno,1863.67,1972.41,2033.70,Comprou
4PI804,UNITED,JFK,AMS,2,1,romântico,primavera,2523.08,2709.90,2645.07,Preferiu aguardar e comprou depois
3WR7UM,UNITED,BOM,FRA,3,1,família,inverno,6269.64,7330.90,8197.40,Comprou
SUF3US,KLM,HKG,PEK,2,0,aventura,inverno,3053.22,2884.72,2849.07,Não comprou
VFBH9S,AZUL,AKL,LGW,1,0,histórico,primavera,921.42,915.45,1006.76,Não comprou
WKE0GP,QATAR,SFO,ZRH,2,2,família,outono,3376.50,3966.63,3250.45,Preferiu aguardar e comprou depois
9RL368,GOL,BCN,CPT,1,0,histórico,primavera,1190.18,1044.61,989.78,Não comprou
VRSM05,AZUL,DFW,LAS,2,2,aventura,outono,2175.08,2055.31,2147.49,Não comprou
9XEXAY,DELTA,SIN,ATL,1,0,negócios,outono,1691.70,1396.32,1639.95,Não comprou
9721RI,GOL,PEK,BOM,3,0,negócios,primavera,5270.06,5341.06,4400.44,Preferiu aguardar e comprou depois
TCGAR3,UNITED,YVR,IAH,3,0,romântico,primavera,5721.40,5970.46,5370.07,Preferiu aguardar e comprou depois
PV0NB0,AIR FRANCE,CPT,FCO,2,1,religioso,primavera,3143.86,2918.54,2516.04,Não comprou
9LDM1R,GOL,FRA,LIS,4,1,histórico,primavera,7023.01,6612.00,6808.28,Não comprou
D6VJQP,QATAR,VIE,BCN,1,1,religioso,outono,1314.66,1377.46,1611.56,Preferiu aguardar e comprou depois
AHTFFO,LATAM,DOH,YYZ,4,1,romântico,verão,15691.01,12813.60,11405.82,Não comprou
EKUYEF,AZUL,SFO,ZRH,4,0,romântico,primavera,9940.34,8710.77,10285.65,Não comprou
DLH3V4,EMIRATES,LGA,LGW,1,2,histórico,verão,1135.38,1350.30,1276.31,Comprou
VINDPQ,EMIRATES,FRA,YYZ,2,2,histórico,inverno,1855.82,1802.30,1974.74,Não comprou
SSJYFL,GOL,YYZ,FRA,3,0,religioso,inverno,7504.67,6518.14,6267.58,Não comprou
WTYCE4,AMERICAN,AKL,IAH,2,0,histórico,inverno,1876.99,1635.05,1870.45,Não comprou
NJEIZD,UNITED,ATH,ORD,3,2,aventura,verão,6057.64,5715.12,4990.05,Não comprou
AGB7C5,EMIRATES,MXP,ZRH,2,2,histórico,primavera,3029.56,3574.14,4255.57,Preferiu aguardar e comprou depois
E5M6IO,AZUL,ATH,JFK,4,2,religioso,primavera,7308.12,6023.63,5162.77,Não comprou
BULSE4,LATAM,FRA,YYZ,3,0,romântico,outono,5215.10,4790.06,4922.96,Não comprou
NFZG4D,DELTA,LGA,DEL,4,0,histórico,primavera,9907.17,7992.66,8435.74,Não comprou
IGHAFG,LATAM,ORD,LGW,3,2,histórico,verão,6432.83,7707.39,8049.59,Comprou
ZG08TU,AIR FRANCE,ZRH,DUB,2,0,negócios,verão,5238.29,5973.77,7003.01,Comprou
JKE087,AIR FRANCE,LHR,ORD,4,1,religioso,inverno,8931.31,8536.92,7790.14,Não comprou
BIFDF2,AMERICAN,SIN,DXB,2,1,negócios,inverno,3340.49,3198.10,2698.86,Não comprou
A0GRW4,AIR FRANCE,EWR,CDG,3,1,negócios,outono,6914.52,7470.89,8079.12,Comprou
H71CDX,EMIRATES,DEN,DFW,4,2,histórico,primavera,10896.33,9427.11,11219.84,Não comprou
LHZY2A,EMIRATES,MAD,LAS,2,2,negócios,inverno,1798.30,2057.94,2349.20,Comprou
NDJN3C,QATAR,SFO,BRU,1,2,religioso,outono,928.89,771.48,764.50,Não comprou
BI1OS9,AIR FRANCE,ORD,LAS,1,2,histórico,primavera,1043.63,885.79,826.82,Não comprou
1U9JQY,AIR FRANCE,DEN,DFW,3,0,romântico,outono,7232.36,7005.97,6300.47,Não comprou
ZHOBXJ,EMIRATES,MUC,AMS,1,2,romântico,primavera,1117.56,1253.01,1454.94,Preferiu aguardar e comprou depois
58010I,GOL,DFW,LGA,3,0,romântico,primavera,6366.50,5359.07,4852.68,Não comprou
X48G75,UNITED,SYD,NRT,2,0,religioso,primavera,2725.94,2966.89,2910.35,Comprou
WCFV9K,AMERICAN,LIS,ATL,3,0,histórico,inverno,4347.11,3545.03,2971.25,Não comprou
1XPDJ0,EMIRATES,JFK,DXB,1,0,romântico,inverno,1568.69,1459.71,1466.37,Não comprou
ZWTICG,QATAR,DOH,ORD,4,0,religioso,primavera,9600.38,8513.03,6820.58,Não comprou
KEC6D4,QATAR,YVR,DFW,4,2,aventura,primavera,6414.95,5873.07,4733.80,Não comprou
2C29SN,LATAM,DFW,IAH,3,0,família,outono,7975.84,8472.92,7229.57,Preferiu aguardar e comprou depois
EFQXMI,GOL,CLT,MIA,2,0,histórico,inverno,2338.08,2727.55,2552.30,Comprou
MTHCOK,QATAR,FRA,LAX,4,2,aventura,inverno,8516.38,10122.31,11065.05,Preferiu aguardar e comprou depois
78WIH3,KLM,MXP,IAH,3,2,negócios,inverno,5505.64,5473.84,6168.51,Não comprou
2KODYC,QATAR,SIN,MUC,3,2,família,outono,6044.17,6457.29,6016.84,Preferiu aguardar e comprou depois
IXGXGR,AZUL,CLT,DXB,1,1,aventura,outono,1756.27,1492.31,1621.50,Não comprou
6C9KZV,GOL,DXB,VIE,4,1,romântico,outono,11597.54,13457.04,12088.87,Comprou
4LAJBG,LATAM,AMS,MUC,2,2,religioso,inverno,2861.63,2548.20,2552.17,Não comprou
UFLVC8,GOL,YYZ,ATL,1,2,aventura,outono,1382.30,1281.88,1386.81,Não comprou
3NEPBI,QATAR,ORD,LGA,3,2,família,inverno,7119.22,8265.44,8453.82,Comprou
NZCR30,AIR FRANCE,MUC,HND,1,2,família,inverno,1692.62,1359.11,1611.47,Não comprou
BTSVSQ,UNITED,MUC,LIS,4,1,histórico,inverno,9359.80,9424.70,9625.75,Preferiu aguardar e comprou depois
IZ8ZJG,AIR FRANCE,BOM,FCO,1,0,negócios,primavera,1489.32,1619.30,1405.54,Preferiu aguardar e comprou depois
7YCINH,UNITED,VIE,SEA,4,0,religioso,verão,12333.74,14346.25,13758.64,Comprou
1YYF6C,LATAM,JNB,BOS,3,2,família,verão,6916.46,7443.48,8465.00,Preferiu aguardar e comprou depois
CTZ4OY,GOL,CLT,DUB,1,0,negócios,inverno,1369.40,1566.44,1697.44,Comprou
R2T5I2,AMERICAN,CDG,LGA,4,2,negócios,verão,11822.23,12513.66,11289.56,Preferiu aguardar e comprou depois
GHP2K5,AMERICAN,MAD,DOH,3,1,negócios,outono,7698.84,8511.75,9127.24,Preferiu aguardar e comprou depois
1TRLJ0,GOL,LAX,AMS,2,1,aventura,outono,4272.14,4600.31,4467.19,Comprou
F3K73P,LATAM,ATL,YVR,3,1,religioso,verão,6593.04,6462.29,6925.13,Não comprou
DF23TN,QATAR,DXB,SEA,4,0,histórico,verão,13387.33,15516.43,17675.25,Comprou
PF4R4V,GOL,BOM,CPT,1,0,família,outono,1768.76,1641.64,1949.01,Não comprou
SE0WS9,GOL,LAS,MEL,3,2,histórico,primavera,5396.21,5770.68,5173.27,Comprou
A9AJNG,UNITED,YVR,ATH,4,0,negócios,outono,10885.69,11656.32,11506.23,Comprou
AKRVKY,AMERICAN,HKG,AKL,2,1,histórico,outono,1828.67,1502.43,1281.79,Não comprou
RHCZS3,KLM,DOH,EWR,3,1,aventura,verão,8579.64,8885.16,9298.78,Comprou
X3P3JA,EMIRATES,AKL,DXB,2,1,romântico,verão,2583.89,2792.08,2581.52,Preferiu aguardar e comprou depois
16ATIL,QATAR,AMS,SFO,1,1,romântico,inverno,1290.29,1449.39,1730.17,Comprou
4LENJ0,AMERICAN,CPT,CDG,4,2,religioso,inverno,12313.77,11362.27,11231.54,Não comprou
TWD5MU,DELTA,SFO,MUC,1,1,família,outono,1474.87,1687.43,1775.33,Comprou
SN1HFD,UNITED,JFK,VIE,2,0,aventura,inverno,2239.69,2230.02,1853.54,Não comprou
00PF89,KLM,MAD,IAH,1,1,aventura,verão,1360.61,1398.93,1177.81,Comprou
2NF5AU,AZUL,ZRH,BOM,1,2,negócios,verão,1365.03,1556.37,1374.81,Comprou
65Z309,UNITED,YVR,PVG,3,1,religioso,primavera,5416.45,4545.71,3686.73,Não comprou
Q2SR4D,KLM,MEL,MIA,1,1,religioso,inverno,1662.78,1840.17,2015.82,Comprou
8LQX5F,GOL,IAH,DUB,4,1,histórico,primavera,9259.77,9752.06,11674.91,Comprou
CZQ8E6,AMERICAN,CDG,ATL,4,2,aventura,primavera,11386.58,12098.88,11521.52,Preferiu aguardar e comprou depois
XWXKJX,KLM,ORD,LGW,3,0,negócios,outono,8089.79,8265.20,8211.38,Preferiu aguardar e comprou depois
VBKMWV,EMIRATES,ATH,MXP,2,2,família,outono,3685.17,3974.51,4706.79,Preferiu aguardar e comprou depois
73Y9UZ,EMIRATES,SFO,AKL,4,2,aventura,inverno,7833.90,6492.41,7587.19,Não comprou
OKNGU9,EMIRATES,ORD,MXP,3,1,negócios,primavera,4966.76,4240.56,4480.47,Não comprou
7ZHWAD,QATAR,YVR,MUC,4,1,romântico,outono,10620.89,10344.80,9168.28,Não comprou
I3O80R,LATAM,ATH,AMS,1,0,histórico,primavera,1200.62,1415.40,1270.71,Comprou
IXWNFE,AZUL,LAS,FRA,2,0,família,verão,5704.44,5748.49,5325.85,Preferiu aguardar e comprou depois
14Z320,AMERICAN,PVG,PHX,3,1,negócios,inverno,8157.38,8567.05,7309.57,Preferiu aguardar e comprou depois
8ODCXP,GOL,MAD,DEL,4,0,romântico,inverno,9810.17,11185.49,12180.84,Preferiu aguardar e comprou depois
Z5W23L,AZUL,YYZ,MAD,1,0,romântico,primavera,1443.98,1450.03,1419.09,Preferiu aguardar e comprou depois
XW1AIE,GOL,VIE,JFK,2,2,romântico,verão,5257.69,4224.39,4255.84,Não comprou
GSPOAB,KLM,ATL,SFO,3,0,família,verão,8629.41,8267.07,7018.43,Não comprou
1BOTBH,LATAM,BOM,NRT,4,0,negócios,primavera,10029.86,8769.77,7946.78,Não comprou
ZH8HL0,LATAM,SFO,LIS,1,2,aventura,primavera,806.29,899.36,819.18,Comprou
RNTMCK,DELTA,DXB,LIS,4,2,romântico,outono,12678.22,11767.15,11997.01,Não comprou
YFXQ2S,KLM,DXB,AKL,1,0,histórico,outono,1654.28,1648.28,1852.52,Não comprou
5WGVW8,DELTA,CDG,VIE,3,0,histórico,inverno,6841.21,6352.67,6952.08,Não comprou
8DRPIA,QATAR,SIN,DOH,2,2,romântico,inverno,3702.34,4198.64,3544.10,Comprou
2SWA1X,AZUL,SEA,BOM,4,1,aventura,outono,10389.72,12294.79,10731.68,Comprou
CLZWI4,UNITED,LIS,HKG,2,1,religioso,outono,2015.59,1663.88,1619.53,Não comprou
YWXOA3,KLM,HKG,YVR,4,1,aventura,verão,14027.32,14855.52,12599.91,Preferiu aguardar e comprou depois
1JC058,DELTA,FRA,DOH,3,1,negócios,outono,4926.74,5861.37,4920.98,Comprou
MVP9C8,AIR FRANCE,ATH,HND,3,0,romântico,primavera,4005.08,3650.19,3503.88,Não comprou
YCQRJ5,EMIRATES,AKL,MAD,1,1,negócios,outono,1462.82,1194.09,1329.97,Não comprou
GBEG03,AIR FRANCE,LAS,JFK,1,0,negócios,primavera,913.36,885.67,756.73,Não comprou
KQJ7CF,KLM,MAD,SIN,2,1,família,inverno,2414.96,2159.37,2141.04,Não comprou
RDZ8ZI,QATAR,JNB,AKL,2,2,histórico,outono,4069.85,4662.78,4623.04,Comprou
I7TY67,UNITED,CDG,ZRH,1,2,família,verão,1830.85,1665.09,1809.16,Não comprou
W50JF9,DELTA,DXB,AKL,1,1,romântico,outono,1269.20,1310.47,1376.84,Preferiu aguardar e comprou depois
VNBM5U,AIR FRANCE,NRT,SIN,4,0,religioso,verão,12578.74,15034.35,13833.34,Comprou
U99WNG,EMIRATES,DFW,NRT,2,1,romântico,outono,3288.90,2873.31,2640.79,Não comprou
OS9KLF,UNITED,SYD,AMS,4,1,romântico,verão,14416.93,13153.14,15477.56,Não comprou
DCE15B,UNITED,LGA,MXP,1,0,aventura,inverno,1867.88,2204.43,1896.99,Comprou
AH1G8O,QATAR,MAD,PVG,4,1,família,inverno,13086.26,13994.16,15467.43,Preferiu aguardar e comprou depois
PWZGR0,LATAM,DEL,ATH,1,2,histórico,inverno,1971.43,1995.09,1626.72,Preferiu aguardar e comprou depois
GJ83B6,AMERICAN,LGW,ZRH,2,0,romântico,outono,3278.08,3356.42,3469.26,Comprou
0Q58AJ,QATAR,LAS,MUC,2,1,histórico,primavera,2357.90,2772.53,2531.01,Comprou
51E5UW,LATAM,SFO,DXB,2,0,religioso,inverno,3879.00,4617.55,4294.86,Comprou
3H83NU,LATAM,DFW,AMS,1,0,religioso,outono,1238.28,1114.50,1108.92,Não comprou
FUQR5S,AZUL,MAD,PVG,4,0,família,primavera,11320.28,10705.33,12694.96,Não comprou
N4OPHI,AZUL,FRA,SEA,3,2,aventura,primavera,5863.43,6145.79,5671.91,Preferiu aguardar e comprou depois
2NW7OS,AMERICAN,PEK,YVR,4,1,religioso,primavera,9621.28,9053.15,7922.90,Não comprou
0EM77I,AZUL,JFK,MAD,1,1,religioso,inverno,979.96,890.14,997.47,Não comprou
HSH951,AZUL,MUC,SEA,3,2,negócios,inverno,5480.12,4473.50,3823.79,Não comprou
55MNV7,KLM,LGA,BOS,1,2,aventura,outono,1534.83,1456.80,1401.30,Não comprou
W6ECWX,GOL,IAH,PHX,1,0,romântico,verão,2218.52,2652.88,2232.51,Comprou
1VD35B,UNITED,MEL,SFO,2,0,negócios,outono,3171.49,3698.36,3461.62,Preferiu aguardar e comprou depois
Z4GVAU,GOL,BOM,EWR,1,0,aventura,inverno,1486.61,1453.72,1727.04,Não comprou
